callsign,country,velocity,altitude,temperature,wind_speed,timestamp,delay_label
IFL511,United States,221.13,10363.2,12.3,2.06,2025-04-15T02:38:16,0
TWY235,United States,296.32,13639.8,12.3,2.06,2025-04-15T02:38:16,0
KXM,Australia,186.95,11887.2,12.3,2.06,2025-04-15T02:38:15,1
ERU957,United States,31.91,205.74,12.3,2.06,2025-04-15T02:38:16,2
ZKJMR,New Zealand,56.29,2583.18,12.3,2.06,2025-04-15T02:38:16,2
AIQ3071,Thailand,240.77,11582.4,12.3,2.06,2025-04-15T02:38:15,0
JST233,Australia,84.16,518.16,12.3,2.06,2025-04-15T02:38:16,2
UAL1773,United States,6.69,0.0,12.3,2.06,2025-04-15T02:35:23,2
JST817,Australia,154.48,3497.58,12.3,2.06,2025-04-15T02:38:16,1
AIQ4101,Thailand,227.78,9166.86,12.3,2.06,2025-04-15T02:35:48,0
JST7283,Australia,161.51,3162.3,12.3,2.06,2025-04-15T02:38:16,1
JST893,Australia,222.07,7871.46,12.3,2.06,2025-04-15T02:38:15,0
JST534,Australia,59.16,0.0,12.3,2.06,2025-04-15T02:38:13,2
ADO127,Japan,250.55,7094.22,12.3,2.06,2025-04-15T02:38:15,0
DAL1140,United States,125.31,906.78,12.3,2.06,2025-04-15T02:38:16,1
,India,2.31,0.0,12.3,2.06,2025-04-15T02:37:17,2
AIQ3371,Thailand,95.29,822.96,12.3,2.06,2025-04-15T02:38:16,2
AIC2906,India,67.25,502.92,12.3,2.06,2025-04-15T02:38:15,2
SKW3747,United States,72.24,205.74,12.3,2.06,2025-04-15T02:38:03,2
UAL1291,United States,216.07,6263.64,12.3,2.06,2025-04-15T02:38:15,0
ANA664Y,Japan,276.14,8869.68,12.3,2.06,2025-04-15T02:38:16,0
UAL1816,United States,205.72,11574.78,12.3,2.06,2025-04-15T02:38:16,0
VHJJL,Australia,46.31,449.58,12.3,2.06,2025-04-15T02:37:34,2
UAL1504,United States,223.38,9144.0,12.3,2.06,2025-04-15T02:38:16,0
DAL1986,United States,196.24,4823.46,12.3,2.06,2025-04-15T02:38:16,1
CXK554,United States,35.22,1386.84,12.3,2.06,2025-04-15T02:38:15,2
SDA643,New Zealand,119.84,5494.02,12.3,2.06,2025-04-15T02:38:15,1
IGO259M,India,124.53,3048.0,12.3,2.06,2025-04-15T02:38:15,1
JST721,Australia,10.29,0.0,12.3,2.06,2025-04-15T02:38:14,2
JST512,Australia,213.74,6423.66,12.3,2.06,2025-04-15T02:38:16,0
TKJ9EK,Estonia,167.5,3535.68,12.3,2.06,2025-04-15T02:38:14,1
AAL935,United States,202.18,11582.4,12.3,2.06,2025-04-15T02:38:15,0
SWA361,United States,187.26,12192.0,12.3,2.06,2025-04-15T02:38:16,1
TAP1906,Portugal,5.14,0.0,12.3,2.06,2025-04-15T02:37:54,2
